code,start,end,n_hours,max_slope,min_slope,avg_level
157B025010054,2025-06-29 12:00:00,2025-06-30 02:00:00,15,0.08699999999999997,-1.253,0.6797333333333332
157B025010054,2025-06-30 03:00:00,2025-06-30 13:00:00,10,9.709,-4.775,2.8754000000000004
157B025010054,2025-06-30 14:00:00,2025-06-30 23:00:00,5,2.198,-0.493,0.7767999999999999
157B025010054,2025-07-01 00:00:00,2025-07-01 04:00:00,5,0.04999999999999982,-0.9649999999999999,4.8466000000000005
157B025010054,2025-07-01 05:00:00,2025-07-01 09:00:00,5,0.0,-1.4340000000000002,1.7584
157B025010054,2025-07-01 10:00:00,2025-07-02 10:00:00,25,0.14899999999999997,-0.246,0.6164000000000001
157B025010054,2025-07-02 11:00:00,2025-07-03 08:00:00,5,8.674,-4.273,5.6388
157B025010054,2025-07-03 09:00:00,2025-07-04 10:00:00,25,0.585,-0.673,3.6174
157B025010054,2025-07-04 11:00:00,2025-07-04 20:00:00,10,1.8739999999999999,-1.0999999999999999,2.1611
157B025010054,2025-07-04 21:00:00,2025-07-05 01:00:00,5,4.161,-2.894000000000001,5.740400000000001
157B025010054,2025-07-05 02:00:00,2025-07-05 11:00:00,10,0.11900000000000022,-0.5529999999999999,3.6387
157B025010054,2025-07-05 12:00:00,2025-07-05 21:00:00,10,0.4930000000000001,-0.9340000000000002,2.1018
157B025010054,2025-07-05 22:00:00,2025-07-06 07:00:00,10,2.796,-0.7469999999999999,5.032000000000001
157B025010054,2025-07-06 08:00:00,2025-07-07 08:00:00,25,1.73,-1.311,3.9887200000000003
157B025010054,2025-07-07 09:00:00,2025-07-08 22:00:00,35,1.04,-1.3690000000000002,2.499685714285714
157B025010054,2025-07-08 23:00:00,2025-07-09 03:00:00,5,3.941,-5.678999999999999,5.361
157B025010054,2025-07-09 04:00:00,2025-07-10 11:00:00,30,1.285,-0.9620000000000002,2.5406333333333335
157B025010054,2025-07-10 12:00:00,2025-07-11 18:00:00,30,0.04700000000000015,-0.133,1.8877
157B025010054,2025-07-11 19:00:00,2025-07-13 21:00:00,50,3.6590000000000003,-4.006,2.8266199999999997
157B025010054,2025-07-13 22:00:00,2025-07-14 08:00:00,10,1.7929999999999997,-0.38399999999999945,3.9149000000000003
157B025010054,2025-07-14 09:00:00,2025-07-15 00:00:00,15,2.2689999999999997,-1.0139999999999998,2.2974666666666663
157B025010054,2025-07-15 01:00:00,2025-07-15 10:00:00,10,0.9119999999999999,-1.3399999999999999,5.4094
157B025010054,2025-07-15 11:00:00,2025-07-15 20:00:00,10,0.05999999999999961,-0.3400000000000003,3.8064
157B025010054,2025-07-15 21:00:00,2025-07-16 06:00:00,10,0.486,-0.45899999999999985,2.0087
157B025010054,2025-07-16 07:00:00,2025-07-16 11:00:00,5,-0.0940000000000003,-2.9509999999999996,3.659
157B025010054,2025-07-16 12:00:00,2025-07-18 19:00:00,55,1.082,-0.32899999999999974,2.230509090909091
